,local_guide,professional,excited traveler,pnw,outdoorsy,family & friends,educational transplants,capitol hill,real_estate,explorers,artsy,engineer,abouts,latitude,longitude
0,0.0354117220911,0.00198901665127,0.0,0.0322729282705,0.00552990213032,0.0,0.0554892981421,0.0,0.0,0.00595578955002,0.00644468144831,0.0,"i am an artist, interior designer, and run a small landscape business. my life revolves around beauty wherever i find it or create it. i grew up in seattle and love this city for the people, it's natural beauty and don't know anywhere else i would rather call home. i love to travel and try to do so as much as possible and am excited to be a part of the airbnb community!",47.6362890384,-122.3710252
1,0.00756362664743,0.0,0.0,0.0199560368374,0.0337860390771,0.0,0.0204388880822,0.0,0.0,0.0,0.0,0.0,living east coast/left coast/overseas.  time is short & it's a big world. ,47.6391231214,-122.365666464
2,0.0117792795031,0.0,0.00333733650478,0.0471937843248,0.0247570563169,0.0917314533003,0.0,0.0,0.0635122056727,0.0,0.00841148519874,0.00834538450382,"i love living in seattle.  i grew up in the mid-west but the pacific north west has always felt like home.  i am a mom to 3 beautiful kids, love playing tennis, cooking, reading and being with friends and family.  i manage a few long-term rental properties as well as consult and manage airbnb properties for those living in the seattle area. ",47.6297241316,-122.369483176
3,0.0356618644461,0.0,0.00585827065929,0.0101686384967,0.0,0.016126846524,0.0543715759507,0.0,0.00238947908198,0.00310517684608,0.0,0.00272712887084,"hi, i live in seattle, washington but i'm originally from southern california. i am an industrial designer. we (my husband daniel and our little boy oliver) love to travel and host people at our house. we appreciate good design, vintage finds and culture. we love to collect experiences more than stuff and hope that is reflected in our house and lives. ",47.6329184028,-122.372470634
4,0.016628143644,0.00104618220373,0.0,0.0,0.0449291719789,0.00195090176061,0.0348258523756,0.00325286822171,0.00663397344152,0.0,0.0150164494913,0.0,"i've been fortunate to have had many life experiences.  grew up on a farm in the midwest, did a phd in engineering, taught some classes, started several companies,  enjoying oil painting, road trips, hiking, movies, cooking and reading.",47.6305254824,-122.366174065
5,0.0,0.0,0.0,0.0,0.154804598858,0.00147380666016,0.0,0.0207177847539,0.0,0.0,0.0,0.0,"we have lived in the the queen anne neighborhood and worked downtown since 1986. we enjoy the outdoors: skiing, biking, hiking and car camping. gary is a hang glider pilot and beth is a knitter, sewer and all around craft maven. ",47.6366054453,-122.368519058
6,0.0132091254371,0.0,0.000924834286024,0.0,0.00379065972553,0.0134263754804,0.0204184404136,0.0,0.00610467362407,0.0,0.0398339306076,0.0163786269113,"i am a carpenter at heart , i love music , i play the drum's and a bit of guitar, i have two children one 23 and the other is 4 ! i am a home body that dreams of traveling lol ! my wife and i love to make things, she does the sewing and even spins her own yarn . ",47.6401605412,-122.375855979
7,0.0,0.0700839263941,0.150249077476,0.0,0.118998085285,0.0,0.0,0.0,0.0,0.0,0.0294043892801,0.0,"i'm a 35 year old professional from seattle, washington.  i love to ski, rock climb, hike, travel, and meet new people. fun fact about me: i'm ambidextrous.     my favorite food group is cheeseburgers.  looking forward to crossing paths!",47.6324102998,-122.357216069
8,0.00631282136649,0.0057434257642,0.0702986366924,0.0,0.0986275183473,0.00694186277169,0.00232351288368,0.0737571022158,0.0,0.0,0.00186677568894,0.0,"eileen and ray were born in seattle just three blocks from each other, finally met at the university of washington, and have lived on queen anne hill since college. they've been in love for over forty-four years, are young-at-heart and enjoy hiking and skiing. (they rack up more than 85 days of skiing every season!) eileen loves to read, take walks around queen anne hill, and ""putter"" in her garden and ray hikes up tiger mountain east of seattle to go paragliding as often as weather permits! they are delighted to welcome you to the basement apartment in their 1904 home where they've lived for over forty years. 

ray worked as a graphic artist, magazine publisher, advertising director and restaurant general manager. nowadays when he's not flying or skiing, he works with wood and steel in his workshop. eileen worked in the accounting department of a local tv station and loves her daily walks around seattle, skiing and relaxing with a good book and cup of tea. ray and eileen love the opportunity that hosting with airbnb for over four years has afforded them: the chance to meet wonderful people from all over the world!

eileen & ray look forward to meeting you and welcoming you to seattle!",47.6354817084,-122.358477762
9,0.0119191876002,0.00225476614306,0.00532135526307,0.244597271578,0.0,0.0,0.0,0.000638161791423,0.00948458972488,0.0113692084135,0.0251620934852,0.0203138787645,"my name is nadia, and i am a native of seattle, wa, and i love the pacific northwest. i work in the music industry. have had a great experience staying in airbnbs, and am excited to offer my house up as an airbnb in seattle.",47.6372140751,-122.360045761
